Dateiname	Sprachtyp	Level	URL	Verfasser_in	Datum	Herausgeber_in	Überprüfung	Siegel	Original-Lizenz	Korpus	Textsorte	Herausgeber_in_anno	Kommentar_textsorte
m_104_easy	Leicht	A1	https://hurraki.de/wiki/OS_X	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_105_easy	Leicht	A1	https://hurraki.de/wiki/Sparbuch	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_106_easy	Leicht	A1	https://hurraki.de/wiki/Wohn-_und_Teilhabegesetz	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_107_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=222&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=R&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=9dc8d4ad0fe40647662c7e881060df60	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_108_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=162&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=K&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=9a939c3ae297774de87b4f65ae8097f6	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_109_easy	Leicht	A1	https://hurraki.de/wiki/Korruption	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_110_easy	Leicht	A1	https://hurraki.de/wiki/Chatbot	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_111_easy	Leicht	A1	https://hurraki.de/wiki/Jahwe	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_112_easy	Leicht	A1	https://hurraki.de/wiki/Bestsellerliste	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_113_easy	Leicht	A1	https://hurraki.de/wiki/Barf%C3%BC%C3%9Figkeit	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_114_easy	Leicht	A1	https://hurraki.de/wiki/Attentat	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_115_easy	Leicht	A1	https://hurraki.de/wiki/Beipackzettel	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_117_easy	Leicht	A1	https://hurraki.de/wiki/Person_of_the_Year	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_118_easy	Leicht	A1	https://hurraki.de/wiki/Wahlstimme	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_119_easy	Leicht	A1	https://hurraki.de/wiki/Aktion_Mensch	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_120_easy	Leicht	A1	https://hurraki.de/wiki/Strand	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_122_easy	Leicht	A1	https://hurraki.de/wiki/Geld	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_124_easy	Leicht	A1	https://hurraki.de/wiki/Mindestkriterien	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_125_easy	Leicht	A1	https://hurraki.de/wiki/Schmotziger_Donnerstag	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_126_easy	Leicht	A1	https://hurraki.de/wiki/Autistic_Pride_Day	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_127_easy	Leicht	A1	https://hurraki.de/wiki/Jesid	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_128_easy	Leicht	A1	https://hurraki.de/wiki/Kabeln	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_129_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=147&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=J&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=6a909441da907042d48d5e627698d253	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_130_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=181&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=0b7e1f3098ac5e61699730aa036144e8	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_131_easy	Leicht	A1	https://hurraki.de/wiki/Hassrede	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_134_easy	Leicht	A1	https://hurraki.de/wiki/Rosenmontag	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
